,Unnamed: 0,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,0,24.69,60,1017,Sky is Clear,1435390925,2.6,140,Milano,2015-06-27 09:42:05,250
1,1,25.340000000000032,57,1017,Sky is Clear,1435394243,2.1,160,Milano,2015-06-27 10:37:23,250
2,2,27.70000000000005,51,1017,Sky is Clear,1435399015,1.5,210,Milano,2015-06-27 11:56:55,250
3,3,28.36000000000001,42,1017,Sky is Clear,1435402416,2.1,220,Milano,2015-06-27 12:53:36,250
4,4,29.45000000000005,42,1016,few clouds,1435406054,2.6,210,Milano,2015-06-27 13:54:14,250
5,5,30.27000000000004,39,1015,few clouds,1435409700,2.1,230,Milano,2015-06-27 14:55:00,250
6,6,30.51000000000005,42,1014,Sky is Clear,1435416893,2.6,250,Milano,2015-06-27 16:54:53,250
7,7,30.600000000000023,40,1014,Sky is Clear,1435420537,3.1,220,Milano,2015-06-27 17:55:37,250
8,8,30.18000000000001,35,1013,Sky is Clear,1435424291,2.6,270,Milano,2015-06-27 18:58:11,250
9,9,28.95000000000005,35,1013,heavy intensity rain,1435427929,1.5,310,Milano,2015-06-27 19:58:49,250
10,10,23.879999999999995,60,1015,Sky is Clear,1435438353,2.1,200,Milano,2015-06-27 22:52:33,250
11,11,22.99000000000001,57,1015,Sky is Clear,1435442236,2.1,210,Milano,2015-06-27 23:57:16,250
12,12,21.95000000000005,56,1016,few clouds,1435445858,4.6,120,Milano,2015-06-28 00:57:38,250
13,13,20.27000000000004,68,1017,Sky is Clear,1435453226,2.6,90,Milano,2015-06-28 03:00:26,250
14,14,19.620000000000005,72,1017,Sky is Clear,1435456482,2.6,50,Milano,2015-06-28 03:54:42,250
15,15,18.680000000000007,72,1017,Sky is Clear,1435460036,2.6,40,Milano,2015-06-28 04:53:56,250
16,16,18.28000000000003,72,1017,Sky is Clear,1435463874,2.6,40,Milano,2015-06-28 05:57:54,250
17,17,18.860000000000014,77,1017,Sky is Clear,1435467177,0.5,0,Milano,2015-06-28 06:52:57,250
18,0,28.570000000000054,54,1016,Sky is Clear,1436863175,2.1,100,Milano,2015-07-14 10:39:35,250
19,1,29.74000000000001,48,1016,Sky is Clear,1436866758,2.6,0,Milano,2015-07-14 11:39:18,250
20,2,31.120000000000005,48,1016,Sky is Clear,1436870509,2.6,140,Milano,2015-07-14 12:41:49,250
21,3,32.160000000000025,45,1015,Sky is Clear,1436874098,2.1,0,Milano,2015-07-14 13:41:38,250
22,4,33.59000000000003,43,1015,Sky is Clear,1436877644,3.1,80,Milano,2015-07-14 14:40:44,250
23,5,34.210000000000036,36,1014,Sky is Clear,1436881329,2.1,0,Milano,2015-07-14 15:42:09,250
24,6,34.410000000000025,38,1014,Sky is Clear,1436884928,2.1,230,Milano,2015-07-14 16:42:08,250
25,7,34.81,38,1014,Sky is Clear,1436888512,3.1,220,Milano,2015-07-14 17:41:52,250
26,8,34.09000000000003,38,1013,Sky is Clear,1436892131,2.6,210,Milano,2015-07-14 18:42:11,250
27,9,33.200000000000045,35,1014,Sky is Clear,1436895722,4.1,210,Milano,2015-07-14 19:42:02,250
28,10,31.550000000000008,48,1013,Sky is Clear,1436899336,2.1,220,Milano,2015-07-14 20:42:16,250
29,11,28.330000000000037,61,1014,Sky is Clear,1436902942,2.1,200,Milano,2015-07-14 21:42:22,250
30,12,27.580000000000037,51,1014,Sky is Clear,1436906530,2.1,200,Milano,2015-07-14 22:42:10,250
31,13,26.29000000000002,61,1015,scattered clouds,1436910148,0.5,0,Milano,2015-07-14 23:42:28,250
32,14,25.320000000000054,61,1015,few clouds,1436913738,1.0,0,Milano,2015-07-15 00:42:18,250
33,15,24.230000000000015,65,1015,Sky is Clear,1436917310,1.5,70,Milano,2015-07-15 01:41:50,250
34,16,24.29000000000002,65,1015,Sky is Clear,1436920930,1.5,80,Milano,2015-07-15 02:42:10,250
35,17,23.75,65,1016,Sky is Clear,1436924426,2.6,80,Milano,2015-07-15 03:40:26,250
36,18,23.640000000000047,69,1015,Sky is Clear,1436928077,1.0,0,Milano,2015-07-15 04:41:17,250
37,19,23.70000000000005,69,1015,Sky is Clear,1436931717,1.0,90,Milano,2015-07-15 05:41:57,250
38,20,22.220000000000027,73,1016,Sky is Clear,1436935297,1.5,140,Milano,2015-07-15 06:41:37,250
39,21,23.45000000000005,65,1016,few clouds,1436938882,1.0,0,Milano,2015-07-15 07:41:22,250
40,22,25.670000000000016,73,1016,few clouds,1436942515,1.5,60,Milano,2015-07-15 08:41:55,250
41,23,28.68000000000001,54,1017,few clouds,1436945950,3.1,100,Milano,2015-07-15 09:39:10,250
42,0,29.5,48,1011,few clouds,1437730849,3.6,90,Milano,2015-07-24 11:40:49,250
43,1,30.81,45,1011,few clouds,1437734492,2.6,70,Milano,2015-07-24 12:41:32,250
44,2,31.910000000000025,45,1010,proximity shower rain,1437738045,3.1,80,Milano,2015-07-24 13:40:45,250
45,3,32.720000000000034,40,1009,proximity shower rain,1437741578,3.6,130,Milano,2015-07-24 14:39:38,250
46,4,33.44,38,1009,Sky is Clear,1437745188,3.6,130,Milano,2015-07-24 15:39:48,250
47,5,34.379999999999995,38,1008,Sky is Clear,1437748776,2.6,0,Milano,2015-07-24 16:39:36,250
48,6,33.79000000000002,38,1008,scattered clouds,1437752542,2.1,320,Milano,2015-07-24 17:42:22,250
49,7,30.95000000000005,41,1007,heavy intensity rain,1437756040,4.1,150,Milano,2015-07-24 18:40:40,250
50,8,26.670000000000016,48,1008,heavy intensity rain,1437759568,2.1,0,Milano,2015-07-24 19:39:28,250
51,9,25.320000000000054,54,1007,light intensity shower rain,1437763242,1.5,210,Milano,2015-07-24 20:40:42,250
52,10,25.090000000000032,54,1007,scattered clouds,1437766817,0.5,0,Milano,2015-07-24 21:40:17,250
53,11,24.75,69,1009,proximity thunderstorm,1437770376,2.1,20,Milano,2015-07-24 22:39:36,250
54,12,23.470000000000034,54,1008,moderate rain,1437774026,2.6,140,Milano,2015-07-24 23:40:26,250
55,13,22.530000000000033,53,1009,moderate rain,1437777556,3.6,30,Milano,2015-07-25 00:39:16,250
56,14,22.5,61,1008,moderate rain,1437781276,2.1,350,Milano,2015-07-25 01:41:16,250
57,15,22.070000000000054,93,1009,heavy intensity rain,1437784848,4.6,10,Milano,2015-07-25 02:40:48,250
58,16,21.75,61,1008,moderate rain,1437788406,2.6,0,Milano,2015-07-25 03:40:06,250
59,17,20.430000000000007,100,1009,moderate rain,1437792026,1.5,110,Milano,2015-07-25 04:40:26,250
60,18,20.430000000000007,88,1008,proximity thunderstorm,1437795651,1.5,10,Milano,2015-07-25 05:40:51,250
61,19,20.56,93,1010,light rain,1437799260,1.0,0,Milano,2015-07-25 06:41:00,250
62,20,20.720000000000027,94,1009,light rain,1437802783,1.5,200,Milano,2015-07-25 07:39:43,250
63,21,22.70000000000005,88,1009,light rain,1437806424,0.5,0,Milano,2015-07-25 08:40:24,250
64,22,24.51000000000005,73,1009,light rain,1437809987,1.0,0,Milano,2015-07-25 09:39:47,250
65,23,26.370000000000005,65,1009,few clouds,1437813633,1.5,70,Milano,2015-07-25 10:40:33,250
